id,label
DB5-hypotheticalMOF_17652_0_0_1_21_9_7_repeat,13.79159108
DB0-m2_o8_o23_f0_pcu.sym.80_repeat,3.786995708
DB0-m29_o90_o1500_f0_pts.sym.31_repeat,9.382537337
DB0-m3_o48_o25_f0_fsc.sym.3_repeat,11.6503646
DB0-m2_o1_o9_f0_nbo.sym.104_repeat,1.412914985
DB0-m3_o440_o13_f0_fsc.sym.78_repeat,10.16437107
DB0-m2_o24_o27_f0_nbo.sym.19_repeat,2.624280095
DB0-m29_o82_o1500_f0_pts.sym.118_repeat,18.58853893
DB6-cuf_7807_repeat,15.26311596
DB0-m3_o96_o156_f0_fsc.sym.14_repeat,19.41730721
DB0-m2_o7_o24_f0_pcu.sym.66_repeat,10.7396375
DB0-m3_o15_o25_f0_pcu.sym.80_repeat,12.29010405
DB0-m3_o9_o23_f0_pcu.sym.10_repeat,14.09260966
DB0-m3_o21_o23_f0_pcu.sym.15_repeat,11.40404042
DB12-PUDSOX_clean_repeat,11.2605281
DB0-m3_o14_o28_f0_nbo.sym.75_repeat,8.562873163
DB0-m29_o92_o45_f0_pts.sym.93_repeat,16.6695121
DB0-m29_o84_o111_f0_pts.sym.17_repeat,14.14439152
DB0-m3_o25_o510_f0_fsc.sym.81_repeat,13.81962202
DB7-ddmof_20860_repeat,3.381612483
DB0-m15_o16_o80_f0_fsc_repeat,8.878339216
DB0-m3_o12_o16_f0_pcu.sym.98_repeat,11.5408184
DB12-IKUTOZ_clean_repeat,9.707546094
DB0-m2_o17_o26_f0_pcu.sym.105_repeat,9.43093086
DB1-Zn2O8-AZO_A-DPAC_A_No264_repeat,18.0855513
DB1-Cu2N8-BDC_B-irmof20_B_No487_repeat,12.55400837
DB0-m2_o3_o3_f0_pcu.sym.2_repeat,3.51202526
DB0-m3_o9_o28_f0_nbo.sym.16_repeat,7.319455204
DB7-ddmof_21061_repeat,13.52170248
DB0-m3_o52_o23_f0_fsc.sym.30_repeat,6.674948389
DB0-m2_o20_o24_f0_pcu.sym.19_repeat,1.862292296
DB0-m2_o13_o16_f0_pcu.sym.12_repeat,15.75514715
DB12-REZJIR02_clean_repeat,5.019097802
DB0-m3_o160_o45_f0_fsc.sym.57_repeat,12.03534427
DB0-m2_o1_o4_f0_pcu.sym.29_repeat,6.23177464
DB5-hypotheticalMOF_5043365_1_0_1_20_11_2_repeat,7.802557988
DB0-m2_o1_o25_f0_nbo.sym.138_repeat,3.388671251
DB0-m3_o1490_o4_f0_fsc.sym.14_repeat,6.574258936
DB12-MALSOK_clean_repeat,10.16405507
DB5-hypotheticalMOF_5050138_1_0_1_23_12_7_repeat,10.74352273
DB0-m29_o97_o110_f0_pts.sym.29_repeat,17.51987145
DB6-cuf_6812_repeat,8.124297988
DB0-m29_o91_o430_f0_pts.sym.36_repeat,15.21271852
DB5-hypotheticalMOF_26982_1_0_1_22_24_6_repeat,7.750352685
DB0-m1_o14_smb_repeat,10.29898864
DB0-m3_o17_o20_f0_nbo.sym.49_repeat,2.009535851
DB0-m2_o6_bbj_repeat,1.133352599
DB7-ddmof_18583_repeat,3.163588958
DB7-ddmof_22838_repeat,5.051004105
DB0-m3_o6_o25_f0_pcu.sym.66_repeat,17.99555194
DB0-m29_o91_o85_f0_pts.sym.25_repeat,20.46675215
DB5-hypotheticalMOF_5025573_2_0_0_27_15_4_repeat,1.183462176
DB12-BEPVOJ01_clean_repeat,3.034697433
